Fire_ID_1,Fire_ID_2,Reburn_ID,Polygon_ID,Reburn_Interval,Ecoregion,N_Rockies,FRG_max4,departure
OR4473312173020120804,OR4472312167920200817,OR4473312173020120804_OR4472312167920200817,1,8,Cascades,Pacific Northwest,Mixed,0.07266594667346864
CA4189812322019870830,CA4188812325320120805,CA4189812322019870830_CA4188812325320120805,1,25,Klamath Mountains,Pacific Northwest,Low,0.048168298875589315
CA3986612313320120818,CA3966012280920200817,CA3986612313320120818_CA3966012280920200817,1,8,Klamath Mountains,Pacific Northwest,Low,0.026829510334854954
CA3986612313320120818,CA3966012280920200817,CA3986612313320120818_CA3966012280920200817,2,8,Klamath Mountains,Pacific Northwest,Low,0.01770734617949534
CA3931912270720120707,CA3924012311020180727,CA3931912270720120707_CA3924012311020180727,1,6,Klamath Mountains,Pacific Northwest,Low,0.016682812535201846
ID4624611454319880814,ID4631911465120120808,ID4624611454319880814_ID4631911465120120808,1,24,Idaho Batholith,Northern Rockies,Mixed,0.014707496432883434
ID4565911500219880824,ID4569811508120120809,ID4565911500219880824_ID4569811508120120809,1,24,Idaho Batholith,Northern Rockies,Mixed,0.15471843042292407
ID4570211495320050808,ID4569811508120120809,ID4570211495320050808_ID4569811508120120809,1,7,Idaho Batholith,Northern Rockies,High,0.09485875706214691
ID4604911480020030821,ID4606011473320120728,ID4604911480020030821_ID4606011473320120728,1,9,Idaho Batholith,Northern Rockies,Low,0.0018522476312602878
ID4537211447019850720,ID4542411459020120730,ID4537211447019850720_ID4542411459020120730,1,27,Idaho Batholith,Northern Rockies,Low,0.13119276363840668
ID4557011468119960723,ID4542411459020120730,ID4557011468119960723_ID4542411459020120730,1,16,Idaho Batholith,Northern Rockies,Low,0.07908254268949517
ID4541611481219980807,ID4542411459020120730,ID4541611481219980807_ID4542411459020120730,1,14,Idaho Batholith,Northern Rockies,Low,0.037579523598165444
ID4536811434319980816,ID4542411459020120730,ID4536811434319980816_ID4542411459020120730,1,14,Idaho Batholith,Northern Rockies,Low,0.03184246679896201
ID4557311483220000731,ID4542411459020120730,ID4557311483220000731_ID4542411459020120730,1,12,Idaho Batholith,Northern Rockies,Mixed,0.04323988382396374
ID4550511424720000817,ID4542411459020120730,ID4550511424720000817_ID4542411459020120730,1,12,Idaho Batholith,Northern Rockies,Mixed,0.041520728523212244
ID4551811500220000731,ID4542411459020120730,ID4551811500220000731_ID4542411459020120730,1,12,Idaho Batholith,Northern Rockies,Low,0.009993186463774648
ID4546811459920000731,ID4542411459020120730,ID4546811459920000731_ID4542411459020120730,1,12,Idaho Batholith,Northern Rockies,Low,0.0680351776560013
ID4546711474120000805,ID4542411459020120730,ID4546711474120000805_ID4542411459020120730,1,12,Idaho Batholith,Northern Rockies,Low,0.2517123287671233
ID4544311453220020804,ID4542411459020120730,ID4544311453220020804_ID4542411459020120730,1,10,Idaho Batholith,Northern Rockies,Mixed,0.1453648629043958
ID4550011471520050801,ID4542411459020120730,ID4550011471520050801_ID4542411459020120730,1,7,Idaho Batholith,Northern Rockies,Mixed,0.197596153846154
ID4568011472320070706,ID4542411459020120730,ID4568011472320070706_ID4542411459020120730,1,5,Idaho Batholith,Northern Rockies,Mixed,0.003919921601567906
ID4568011472320070706,ID4542411459020120730,ID4568011472320070706_ID4542411459020120730,2,5,Idaho Batholith,Northern Rockies,Mixed,3.945032546506244e-5
ID4640811494519940802,ID4639911493920120808,ID4640811494519940802_ID4639911493920120808,1,18,Idaho Batholith,Northern Rockies,High,0.12080399741964619
MT4620711124920000815,MT4617911126920120910,MT4620711124920000815_MT4617911126920120910,1,12,Middle Rockies,Northern Rockies,Low,3.667941276253645e-5
ID4446211511519980823,ID4444511516620120727,ID4446211511519980823_ID4444511516620120727,1,14,Idaho Batholith,Northern Rockies,High,0.12886521917247018
ID4444511516620120727,ID4451711501920190710,ID4444511516620120727_ID4451711501920190710,1,7,Idaho Batholith,Northern Rockies,Mixed,0.17962758743075874
MT4755711337219850629,MT4760011331820030718,MT4755711337219850629_MT4760011331820030718,1,18,Canadian Rockies,Northern Rockies,High,0.06733903501694359
ID4543311548219850715,ID4554811559420070713,ID4543311548219850715_ID4554811559420070713,1,22,Idaho Batholith,Northern Rockies,Low,0.004309262823194833
ID4512611554919850708,ID4521611552119940811,ID4512611554919850708_ID4521611552119940811,1,9,Idaho Batholith,Northern Rockies,Mixed,0.11373778155546109
ID4540311601419850717,ID4520811624820150812,ID4540311601419850717_ID4520811624820150812,1,30,Idaho Batholith,Northern Rockies,Low,0.01742280177487991
ID4540311601419850717,ID4520811624820150812,ID4540311601419850717_ID4520811624820150812,2,30,Idaho Batholith,Northern Rockies,Low,7.259791643966784e-5
CA4080812321419850726,CA4095112320220060902,CA4080812321419850726_CA4095112320220060902,1,21,Klamath Mountains,Pacific Northwest,Low,0.036917221693625206
ID4529711522619860811,ID4524911525120050807,ID4529711522619860811_ID4524911525120050807,1,19,Idaho Batholith,Northern Rockies,Mixed,0.09273450383160342
ID4529711522619860811,ID4549011522720170729,ID4529711522619860811_ID4549011522720170729,1,31,Idaho Batholith,Northern Rockies,High,0.17886216826212173
ID4543811494219860812,ID4543911498720050801,ID4543811494219860812_ID4543911498720050801,1,19,Idaho Batholith,Northern Rockies,Low,3.3421529034969867e-4
ID4543811494219860812,ID4537411488820070616,ID4543811494219860812_ID4537411488820070616,1,21,Idaho Batholith,Northern Rockies,Low,0.0050055983665941335
